Time,Voltage,Current
19:51:48,6.29,36.79
19:52:21,5.39,10.6
19:52:54,6.3,40.09
19:53:27,6.28,39.59
19:54:00,6.26,39.29
19:54:33,6.26,39.09
19:55:07,6.25,38.7
19:55:40,6.24,38.4
19:56:13,6.24,37.9
19:56:46,6.22,37.59
19:57:19,6.22,37.2
19:57:52,6.2,36.79
19:58:26,6.19,36.4
19:58:59,6.19,35.9
19:59:32,6.18,35.59
20:00:05,6.18,35.2
20:00:38,6.18,34.9
20:01:11,6.18,34.79
20:01:45,6.2,36.2
20:02:18,6.2,35.59
20:02:51,6.19,35.4
20:03:24,6.19,35
